Designator,Footprint,Quantity,Value,LCSC Part #
"C1_50, C1_49, C1_48, C1_47, C1_46, C1_45, C1_44, C1_43, C1_42, C1_41, C1_40, C1_39, C1_38, C1_37, C1_36, C1_35, C1_34, C1_33, C1_32, C1_31, C1_30, C1_29, C1_28, C1_27, C1_26, C1_25, C1_24, C1_23, C1_22, C1_21, C1_20, C1_19, C1_18, C1_17, C1_16, C1_15, C1_14, C1_13, C1_12, C1_11, C1_10, C1_9, C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1",1210,50,47uF,
"C2_50, C2_49, C2_48, C2_47, C2_46, C2_45, C2_44, C2_43, C2_42, C2_41, C2_40, C2_39, C2_38, C2_37, C2_36, C2_35, C2_34, C2_33, C2_32, C2_31, C2_30, C2_29, C2_28, C2_27, C2_26, C2_25, C2_24, C2_23, C2_22, C2_21, C2_20, C2_19, C2_18, C2_17, C2_16, C2_15, C2_14, C2_13, C2_12, C2_11, C2_10, C2_9, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2",0805,50,22uF,
"D2_50, D2_49, D2_48, D2_47, D2_46, D2_45, D2_44, D2_43, D2_42, D2_41, D2_40, D2_39, D2_38, D2_37, D2_36, D2_35, D2_34, D2_33, D2_32, D2_31, D2_30, D2_29, D2_28, D2_27, D2_26, D2_25, D2_24, D2_23, D2_22, D2_21, D2_20, D2_19, D2_18, D2_17, D2_16, D2_15, D2_14, D2_13, D2_12, D2_11, D2_10, D2_9, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2",D_SMA,50,D_Schottky,
"J1_50, J1_49, J1_48, J1_47, J1_46, J1_45, J1_44, J1_43, J1_42, J1_41, J1_40, J1_39, J1_38, J1_37, J1_36, J1_35, J1_34, J1_33, J1_32, J1_31, J1_30, J1_29, J1_28, J1_27, J1_26, J1_25, J1_24, J1_23, J1_22, J1_21, J1_20, J1_19, J1_18, J1_17, J1_16, J1_15, J1_14, J1_13, J1_12, J1_11, J1_10, J1_9, J1_8, J1_7, J1_6, J1_5, J1_4, J1_3, J1_2, J1",TO-252-2,50,Conn_01x03_Socket,
"L1_50, L1_49, L1_48, L1_47, L1_46, L1_45, L1_44, L1_43, L1_42, L1_41, L1_40, L1_39, L1_38, L1_37, L1_36, L1_35, L1_34, L1_33, L1_32, L1_31, L1_30, L1_29, L1_28, L1_27, L1_26, L1_25, L1_24, L1_23, L1_22, L1_21, L1_20, L1_19, L1_18, L1_17, L1_16, L1_15, L1_14, L1_13, L1_12, L1_11, L1_10, L1_9, L1_8, L1_7, L1_6, L1_5, L1_4, L1_3, L1_2, L1",L_Bourns-SRN4018,50,68uH,
"U1_50, U1_49, U1_48, U1_47, U1_46, U1_45, U1_44, U1_43, U1_42, U1_41, U1_40, U1_39, U1_38, U1_37, U1_36, U1_35, U1_34, U1_33, U1_32, U1_31, U1_30, U1_29, U1_28, U1_27, U1_26, U1_25, U1_24, U1_23, U1_22, U1_21, U1_20, U1_19, U1_18, U1_17, U1_16, U1_15, U1_14, U1_13, U1_12, U1_11, U1_10, U1_9, U1_8, U1_7, U1_6, U1_5, U1_4, U1_3, U1_2, U1",SOIC-8_3.9x4.9mm_P1.27mm,50,XL1509-5.0,
