Designator,Mid X,Mid Y,Rotation,Layer
J1_49,185.629,-66.5474,270.0,top
J1_48,185.629,-76.1474,270.0,top
J1_47,185.629,-85.7474,270.0,top
J1_46,185.629,-95.3474,270.0,top
J1_45,185.629,-104.9474,270.0,top
J1_44,185.629,-114.5474,270.0,top
J1_43,185.629,-124.1474,270.0,top
J1_42,185.629,-133.7474,270.0,top
J1_41,185.629,-143.3474,270.0,top
J1_40,167.779,-56.9474,270.0,top
J1_39,167.779,-66.5474,270.0,top
J1_38,167.779,-76.1474,270.0,top
J1_37,167.779,-85.7474,270.0,top
J1_36,167.779,-95.3474,270.0,top
J1_35,167.779,-104.9474,270.0,top
J1_34,167.779,-114.5474,270.0,top
J1_33,167.779,-124.1474,270.0,top
J1_32,167.779,-133.7474,270.0,top
J1_31,167.779,-143.3474,270.0,top
J1_30,149.929,-56.9474,270.0,top
J1_29,149.929,-66.5474,270.0,top
J1_28,149.929,-76.1474,270.0,top
J1_27,149.929,-85.7474,270.0,top
J1_26,149.929,-95.3474,270.0,top
J1_25,149.929,-104.9474,270.0,top
J1_24,149.929,-114.5474,270.0,top
J1_23,149.929,-124.1474,270.0,top
J1_22,149.929,-133.7474,270.0,top
J1_21,149.929,-143.3474,270.0,top
J1_20,132.079,-56.9474,270.0,top
J1_19,132.079,-66.5474,270.0,top
J1_18,132.079,-76.1474,270.0,top
J1_17,132.079,-85.7474,270.0,top
J1_16,132.079,-95.3474,270.0,top
J1_15,132.079,-104.9474,270.0,top
J1_14,132.079,-114.5474,270.0,top
J1_13,132.079,-124.1474,270.0,top
J1_12,132.079,-133.7474,270.0,top
J1_11,132.079,-143.3474,270.0,top
J1_10,114.229,-56.9474,270.0,top
J1_9,114.229,-66.5474,270.0,top
J1_8,114.229,-76.1474,270.0,top
J1_7,114.229,-85.7474,270.0,top
J1_6,114.229,-95.3474,270.0,top
J1_5,114.229,-104.9474,270.0,top
J1_4,114.229,-114.5474,270.0,top
J1_3,114.229,-124.1474,270.0,top
J1_2,114.229,-133.7474,270.0,top
J1,114.229,-143.3474,270.0,top
L1_50,179.499,-58.0974,180.0,top
L1_49,179.499,-67.6974,180.0,top
L1_48,179.499,-77.2974,180.0,top
L1_47,179.499,-86.8974,180.0,top
L1_46,179.499,-96.4974,180.0,top
L1_45,179.499,-106.0974,180.0,top
L1_44,179.499,-115.6974,180.0,top
L1_43,179.499,-125.2974,180.0,top
L1_42,179.499,-134.8974,180.0,top
L1_41,179.499,-144.4974,180.0,top
L1_40,161.649,-58.0974,180.0,top
L1_39,161.649,-67.6974,180.0,top
L1_38,161.649,-77.2974,180.0,top
L1_37,161.649,-86.8974,180.0,top
L1_36,161.649,-96.4974,180.0,top
L1_35,161.649,-106.0974,180.0,top
L1_34,161.649,-115.6974,180.0,top
L1_33,161.649,-125.2974,180.0,top
L1_32,161.649,-134.8974,180.0,top
L1_31,161.649,-144.4974,180.0,top
L1_30,143.799,-58.0974,180.0,top
